text,summary
"The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descendants would gradually merge with the Carolingian-based cultures of West Francia. The distinct cultural and ethnic identity of the Normans emerged initially in the first half of the 10th century, and it continued to evolve over the succeeding centuries.","Normandy locate France. Normandy is 10th and 11th centuries. the Norse originate Denmark, Iceland and Norway. Rollo is the Norse leader. the Normans gain 10th century. "
"Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty, and relating those classes to each other. A computational problem is understood to be a task that is in principle amenable to being solved by a computer, which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps, such as an algorithm.",theoretical computer science deals classify Computational complexity theory. computational problems classify inherent difficulty. the term lend computational problems. 
"Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions. Southern California is a major economic center for the state of California and the United States.","Southern California abbreviate SoCal. eight counties describe 10 counties. Southern California is economic center. the ""eight counties describe demographics and economic ties. The reasons add historical political divisions. "
"Formed in November 1990 by the equal merger of Sky Television and British Satellite Broadcasting, BSkyB became the UK's largest digital subscription television company. Following BSkyB's 2014 acquisition of Sky Italia and a majority 90.04% interest in Sky Deutschland in November 2014, its holding company British Sky Broadcasting Group plc changed its name to Sky plc. The United Kingdom operations also changed the company name from British Sky Broadcasting Limited to Sky UK Limited, still trading as Sky.",Sky Television and British Satellite Broadcasting form BSkyB. BSkyB is the UK's largest digital subscription television company. BSkyB is 2014. BSkyB hold Sky plc. BSkyB is Sky UK Limited. 
"The economy of Victoria is highly diversified: service sectors including financial and property services, health, education, wholesale, retail, hospitality and manufacturing constitute the majority of employment. Victoria's total gross state product (GSP) is ranked second in Australia, although Victoria is ranked fourth in terms of GSP per capita because of its limited mining activity. Culturally, Melbourne is home to a number of museums, art galleries and theatres and is also described as the ""sporting capital of Australia"". The Melbourne Cricket Ground is the largest stadium in Australia, and the host of the 1956 Summer Olympics and the 2006 Commonwealth Games. The ground is also considered the ""spiritual home"" of Australian cricket and Australian rules football, and hosts the grand final of the Australian Football League (AFL) each year, usually drawing crowds of over 95,000 people. Victoria includes eight public universities, with the oldest, the University of Melbourne, having been founded in 1853.",Victoria is diversified. Victoria accord second. GPS set fourth. Victoria call Melbourne. Australia is Melbourne Cricket Ground. 
"Huguenot numbers peaked near an estimated two million by 1562, concentrated mainly in the southern and central parts of France, about one-eighth the number of French Catholics. As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown. A series of religious conflicts followed, known as the Wars of Religion, fought intermittently from 1562 to 1598. The wars finally ended with the granting of the Edict of Nantes, which granted the Huguenots substantial religious, political and military autonomy.","France's Huguenot population center the southern and central parts of France. Huguenots is about one-eighth the number. Religion fight from 1562 to 1598. Religion end the Edict of Nantes. this agreement is granted the Huguenots substantial religious, political and military autonomy. "
"Steam engines are external combustion engines, where the working fluid is separate from the combustion products. Non-combustion heat sources such as solar power, nuclear power or geothermal energy may be used. The ideal thermodynamic cycle used to analyze this process is called the Rankine cycle. In the cycle, water is heated and transforms into steam within a boiler operating at a high pressure. When expanded through pistons or turbines, mechanical work is done. The reduced-pressure steam is then condensed and pumped back into the boiler.",a notable non-combustion heat source is solar. the process analyze Rankine. the Rankine cycle turn steam. the Rankine cycle heat high. engines is external combustion. 
"Oxygen is a chemical element with symbol O and atomic number 8. It is a member of the chalcogen group on the periodic table and is a highly reactive nonmetal and oxidizing agent that readily forms compounds (notably oxides) with most elements. By mass, oxygen is the third-most abundant element in the universe, after hydrogen and helium. At standard temperature and pressure, two atoms of the element bind to form dioxygen, a colorless and odorless diatomic gas with the formula O
2. Diatomic oxygen gas constitutes 20.8% of the Earth's atmosphere. However, monitoring of atmospheric oxygen levels show a global downward trend, because of fossil-fuel burning. Oxygen is the most abundant element by mass in the Earth's crust as part of oxide compounds such as silicon dioxide, making up almost half of the crust's mass.",The atomic number is 8. the second most abundant element is helium. Diatomic oxygen make 20.8%. two atoms combine dioxygen. the Earth crust make almost half. the atomic number is 8. the periodic table is chalcogen. compounds form oxides. other elements compare third. normal conditions is dioxygen. 
"The 1973 oil crisis began in October 1973 when the members of the Organization of Arab Petroleum Exporting Countries (OAPEC, consisting of the Arab members of OPEC plus Egypt and Syria) proclaimed an oil embargo. By the end of the embargo in March 1974, the price of oil had risen from US$3 per barrel to nearly $12 globally; US prices were significantly higher. The embargo caused an oil crisis, or ""shock"", with many short- and long-term effects on global politics and the global economy. It was later called the ""first oil shock"", followed by the 1979 oil crisis, termed the ""second oil shock.""",the 1973 oil crisis begin October 1973. March is nearly $12. the second oil crisis is 1979. another term use first oil shock. members of the Organization of Arab Petroleum Exporting Countries proclaim the oil embargo. 
"European Union law is a body of treaties and legislation, such as Regulations and Directives, which have direct effect or indirect effect on the laws of European Union member states. The three sources of European Union law are primary law, secondary law and supplementary law. The main sources of primary law are the Treaties establishing the European Union. Secondary sources include regulations and directives which are based on the Treaties. The legislature of the European Union is principally composed of the European Parliament and the Council of the European Union, which under the Treaties may establish secondary law to pursue the objective set out in the Treaties.","European Union Law is a body of treaties and legislation. the main sources is Treaties establishing the European Union. the secondary sources is regulations and directives. the two bodies make European Parliament and the Council of the European Union. European Union law is a body of treaties and legislation. European Union law is direct effect or indirect effect. European Union law is primary law, secondary law and supplementary law. the European Union is European Parliament and the Council of the European Union. European Union law is primary law, secondary law and supplementary law. the main sources is the Treaties establishing the European Union. the European Union comprise the European Parliament and the Council of the European Union. European Union law is three. "
